Naam,Adres,Postcode,Plaats,Opgericht,Klanten,Domeinen,Servers,Medewerkers (fte),NPS (%),Resellers toegestaan,Geschatte omzet (*miljoen euro),Diensten
EK-Media B.V.,Moezel 5,2491CV,Den Haag,06-12-2013,1100,3600,73,7.0,100,1,1.4,"Domeinnaam, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Breedband internet, VoIP-telefonie, Netwerk connectiviteit, Online backup, Managed server."
basicHost.nl,,,Den Haag,01-08-2015,1000,2500,100,7.0,100,,1.4,"Domeinnaam, Webhosting, Virtual Private Server, VoIP-telefonie, Online backup, E-mail hosting."
Spothost,Nautilusstraat 3,7821AG,Emmen,01-01-2005,1000,5000,25,7.0,100,1,1.4,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, VoIP-telefonie, Netwerk connectiviteit, Online backup, Managed server."
Basic-ISP,Koekoekslaan 6,3435CL,Nieuwegein,03-04-2005,524,864,14,162.0,100,1,32.4,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Colocatie, Dedicated server, Virtual Private Server, Gameserver, SSL-Certificaat."
HostingDiscounter,Impact 75,6921 RZ,Duiven,01-01-2003,43000,14000,Geen opgave,16.0,-100,1,3.2,"Domeinnaam, Webhosting, Webhosting reselling, Dedicated server, Virtual Private Server, SSL-Certificaat, Managed server, E-mail hosting."
Qlic BV,Bloemdijk 2A,9531JL,Borger,19-12-2012,Geen opgave,Geen opgave,Geen opgave,8.0,-100,1,1.6,"Domeinnaam, Webhosting, Webhosting reselling, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, VoIP-telefonie, Online backup, Managed server, E-mail hosting."
RTK Automatisering B.V.,Spaubeeklaan 23,6164 HG,Geleen,03-03-2011,208,312,50,5.0,-100,,1.0,"Domeinnaam, Webhosting, Dedicated server, Virtual Private Server, Gameserver, Netwerk connectiviteit, Online backup, Usenet toegang, Managed server, E-mail hosting."
Signet bv,Ekkersrijt 5218,5692 EG,Son,01-01-1994,Geen opgave,Geen opgave,Geen opgave,19.0,-100,,3.8,"Domeinnaam, Webhosting, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Breedband internet, VoIP-telefonie, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
SoHosted Cloud B.V.,Dopheide 14,9202 PB,Drachten,00-00-0000,Geen opgave,Geen opgave,Geen opgave,25.0,-100,,5.0,"Colocatie, Virtual Private Server, Online backup."
OnlineWerkplekken.nl,Ringbaan Zuid 10,6905DB,Zevenaar,00-00-0000,50,100,500,18.0,-100,,3.6,"Domeinnaam, Virtual Private Server, Breedband internet, VoIP-telefonie, Online backup, Managed server, E-mail hosting."
